"exp","treatment","rep","genotype","plant","file.name","hyp_mm"
"1","shade","B","Col",58,"yuc_SAS_exp1_001.tif:4486-1869",8.065
"1","shade","B","Col",59,"yuc_SAS_exp1_001.tif:4588-1959",7.083
"1","shade","A","Col",60,"yuc_SAS_exp1_001.tif:3266-3048",6.758
"1","shade","A","Col",61,"yuc_SAS_exp1_001.tif:3247-3228",7.443
"1","shade","A","Col",62,"yuc_SAS_exp1_001.tif:3306-3379",5.948
"1","shade","A","yuc9",63,"yuc_SAS_exp1_001.tif:3229-3804",7.999
"1","shade","A","yuc9",64,"yuc_SAS_exp1_001.tif:3266-3984",7.036
"1","shade","A","yuc9",65,"yuc_SAS_exp1_001.tif:3379-4189",6.592
"1","shade","A","yuc9",66,"yuc_SAS_exp1_001.tif:3343-4314",3.092
"1","shade","A","yuc9",67,"yuc_SAS_exp1_001.tif:3254-4429",7.593
"1","shade","A","yuc2yuc5yuc8yuc9",68,"yuc_SAS_exp1_001.tif:3843-2810",2.715
"1","shade","A","yuc2yuc5yuc8yuc9",69,"yuc_SAS_exp1_001.tif:3860-3125",1.993
"1","shade","A","yuc1yuc4",70,"yuc_SAS_exp1_001.tif:3866-3780",2.646
"1","shade","A","yuc1yuc4",71,"yuc_SAS_exp1_001.tif:3842-3980",3.105
"1","shade","A","yuc1yuc4",72,"yuc_SAS_exp1_001.tif:3848-4275",2.526
"1","shade","A","yuc1yuc4",73,"yuc_SAS_exp1_001.tif:3841-4442",4.412
"1","shade","A","yuc5",74,"yuc_SAS_exp1_001.tif:4415-2842",6.654
"1","shade","A","yuc5",75,"yuc_SAS_exp1_001.tif:4410-3187",7.882
"1","shade","A","yuc5",76,"yuc_SAS_exp1_001.tif:4453-3518",6.045
"1","shade","A","Col",77,"yuc_SAS_exp1_001.tif:4428-3816",6.748
"1","shade","A","Col",78,"yuc_SAS_exp1_001.tif:4466-3958",4.18
"1","shade","A","Col",79,"yuc_SAS_exp1_001.tif:4462-4076",4.623
"1","shade","A","Col",80,"yuc_SAS_exp1_001.tif:4464-4257",1.812
"1","shade","A","Col",81,"yuc_SAS_exp1_001.tif:4426-4444",5.66
"2","sun","B","Col",2,"yuc_SAS_hyp_exp2_001.tif:1061-1300",4.258
"2","sun","B","Col",3,"yuc_SAS_hyp_exp2_001.tif:1053-1605",5.887
"2","sun","B","Col",4,"yuc_SAS_hyp_exp2_001.tif:1051-1785",4.982
"2","sun","B","Col",5,"yuc_SAS_hyp_exp2_001.tif:1057-1946",4.276
"2","sun","B","yuc2yuc5yuc8yuc9",6,"yuc_SAS_hyp_exp2_001.tif:1679-0422",2.517
"2","sun","B","yuc2yuc5yuc8yuc9",7,"yuc_SAS_hyp_exp2_001.tif:1655-0577",1.637
"2","sun","B","yuc2yuc5yuc8yuc9",8,"yuc_SAS_hyp_exp2_001.tif:1681-0725",1.695
"2","sun","B","yuc2yuc5yuc8yuc9",9,"yuc_SAS_hyp_exp2_001.tif:1684-0868",1.778
"2","sun","B","yuc2yuc5yuc8yuc9",10,"yuc_SAS_hyp_exp2_001.tif:1659-1046",1.185
"2","sun","B","Col",11,"yuc_SAS_hyp_exp2_001.tif:1602-1314",4.892
"2","sun","B","Col",12,"yuc_SAS_hyp_exp2_001.tif:1639-1420",4.483
"2","sun","B","Col",13,"yuc_SAS_hyp_exp2_001.tif:1574-1484",5.863
"2","sun","B","Col",14,"yuc_SAS_hyp_exp2_001.tif:1629-1616",4.068
"2","sun","B","Col",15,"yuc_SAS_hyp_exp2_001.tif:1625-1814",3.374
"2","sun","B","Col",16,"yuc_SAS_hyp_exp2_001.tif:1648-1991",4.493
"2","sun","B","yuc9",17,"yuc_SAS_hyp_exp2_001.tif:2226-0437",5.181
"2","sun","B","yuc9",18,"yuc_SAS_hyp_exp2_001.tif:2287-0551",2.919
"2","sun","B","yuc9",19,"yuc_SAS_hyp_exp2_001.tif:2233-0699",4.734
"2","sun","B","yuc9",20,"yuc_SAS_hyp_exp2_001.tif:2283-0872",3.135
"2","sun","B","yuc9",21,"yuc_SAS_hyp_exp2_001.tif:2264-1055",4.694
"2","sun","A","Col",25,"yuc_SAS_hyp_exp2_001.tif:1095-3623",4.526
"2","sun","A","Col",26,"yuc_SAS_hyp_exp2_001.tif:1097-3752",4.06
"2","sun","A","Col",27,"yuc_SAS_hyp_exp2_001.tif:1099-3785",5.387
"2","sun","A","Col",28,"yuc_SAS_hyp_exp2_001.tif:1136-3914",4.533
"2","sun","A","Col",29,"yuc_SAS_hyp_exp2_001.tif:1126-4221",4.296
"2","sun","A","yuc2yuc5yuc8yuc9",30,"yuc_SAS_hyp_exp2_001.tif:1721-2660",2.377
"2","sun","A","yuc2yuc5yuc8yuc9",31,"yuc_SAS_hyp_exp2_001.tif:1722-2978",1.903
"2","sun","A","Col",32,"yuc_SAS_hyp_exp2_001.tif:1699-3513",1.378
"2","sun","A","Col",33,"yuc_SAS_hyp_exp2_001.tif:1699-3763",4.175
"2","sun","A","Col",34,"yuc_SAS_hyp_exp2_001.tif:1696-4066",3.04
"2","sun","A","Col",35,"yuc_SAS_hyp_exp2_001.tif:1698-4197",3.491
"2","sun","A","yuc9",36,"yuc_SAS_hyp_exp2_001.tif:2338-2674",3.043
"2","sun","A","yuc9",37,"yuc_SAS_hyp_exp2_001.tif:2348-2803",3.891
"2","sun","A","yuc9",38,"yuc_SAS_hyp_exp2_001.tif:2310-2946",4.318
"2","sun","A","yuc9",39,"yuc_SAS_hyp_exp2_001.tif:2322-3131",4.104
"2","sun","A","yuc9",40,"yuc_SAS_hyp_exp2_001.tif:2364-3221",2.537
"2","sun","A","yuc5",41,"yuc_SAS_hyp_exp2_001.tif:2346-3633",1.964
"2","sun","A","yuc5",42,"yuc_SAS_hyp_exp2_001.tif:2285-3790",4.431
"2","sun","A","yuc5",43,"yuc_SAS_hyp_exp2_001.tif:2323-4101",2.557
"2","sun","A","yuc5",44,"yuc_SAS_hyp_exp2_001.tif:2292-4246",3.194
"2","sun","B","yuc1yuc4",45,"yuc_SAS_hyp_exp2_001.tif:3415-0591",1.827
"2","sun","B","yuc5yuc8yuc9",46,"yuc_SAS_hyp_exp2_001.tif:3404-1366",1.618
"2","sun","B","yuc5yuc8yuc9",47,"yuc_SAS_hyp_exp2_001.tif:3405-1553",2.608
"2","sun","B","yuc5yuc8yuc9",48,"yuc_SAS_hyp_exp2_001.tif:3385-1697",2.83
"2","sun","B","yuc5yuc8yuc9",49,"yuc_SAS_hyp_exp2_001.tif:3401-1964",3.387
"2","sun","B","yuc2yuc5yuc9",50,"yuc_SAS_hyp_exp2_001.tif:3969-0376",2.352
"2","sun","B","yuc2yuc5yuc9",51,"yuc_SAS_hyp_exp2_001.tif:3964-0586",1.969
"2","sun","B","yuc2yuc5yuc9",52,"yuc_SAS_hyp_exp2_001.tif:3939-0616",4.312
"2","sun","B","yuc2yuc5yuc9",53,"yuc_SAS_hyp_exp2_001.tif:3969-0708",3.264
"2","sun","B","yuc2yuc5yuc9",54,"yuc_SAS_hyp_exp2_001.tif:3922-0771",2.994
"2","sun","B","yuc2yuc5yuc9",55,"yuc_SAS_hyp_exp2_001.tif:3963-0905",2.808
"2","sun","B","yuc2yuc5yuc9",56,"yuc_SAS_hyp_exp2_001.tif:3977-1037",2.926
"2","sun","B","yuc2",57,"yuc_SAS_hyp_exp2_001.tif:3946-1318",3.455
"2","sun","B","yuc2",58,"yuc_SAS_hyp_exp2_001.tif:3929-1483",3.338
"2","sun","B","yuc2",59,"yuc_SAS_hyp_exp2_001.tif:3928-1627",4.002
"2","sun","B","yuc2",60,"yuc_SAS_hyp_exp2_001.tif:3933-1794",1.931
"2","sun","B","yuc2",61,"yuc_SAS_hyp_exp2_001.tif:3936-1994",2.133
"2","sun","B","Col",62,"yuc_SAS_hyp_exp2_001.tif:4594-0441",4.063
"2","sun","B","Col",63,"yuc_SAS_hyp_exp2_001.tif:4565-0575",3.208
"2","sun","B","Col",64,"yuc_SAS_hyp_exp2_001.tif:4569-0761",4.281
"2","sun","B","Col",65,"yuc_SAS_hyp_exp2_001.tif:4521-0872",4.314
"2","sun","B","Col",66,"yuc_SAS_hyp_exp2_001.tif:4571-0899",3.954
"2","sun","B","Col",67,"yuc_SAS_hyp_exp2_001.tif:4527-1040",5.211
"2","sun","B","yuc8",68,"yuc_SAS_hyp_exp2_001.tif:4566-1392",2.048
"2","sun","B","yuc8",69,"yuc_SAS_hyp_exp2_001.tif:4531-1579",1.745
"2","sun","B","yuc8",70,"yuc_SAS_hyp_exp2_001.tif:4554-1732",1.368
"2","sun","B","yuc8",71,"yuc_SAS_hyp_exp2_001.tif:4539-1871",2.242
"2","sun","B","yuc8",72,"yuc_SAS_hyp_exp2_001.tif:4489-1962",2.957
"2","sun","B","yuc8",73,"yuc_SAS_hyp_exp2_001.tif:4557-1986",2.874
"2","sun","A","yuc5yuc8yuc9",74,"yuc_SAS_hyp_exp2_001.tif:3497-3652",2.023
"2","sun","A","yuc5yuc8yuc9",75,"yuc_SAS_hyp_exp2_001.tif:3471-3780",2.458
"2","sun","A","yuc5yuc8yuc9",76,"yuc_SAS_hyp_exp2_001.tif:3465-3922",2.424
"2","sun","A","yuc5yuc8yuc9",77,"yuc_SAS_hyp_exp2_001.tif:3481-4063",1.675
"2","sun","A","yuc2yuc5yuc9",78,"yuc_SAS_hyp_exp2_001.tif:4062-2669",2.575
"2","sun","A","yuc2yuc5yuc9",79,"yuc_SAS_hyp_exp2_001.tif:4032-2943",3.28
"2","sun","A","yuc2yuc5yuc9",80,"yuc_SAS_hyp_exp2_001.tif:4046-3112",2.372
"2","sun","A","yuc2",81,"yuc_SAS_hyp_exp2_001.tif:4035-3627",1.554
"2","sun","A","yuc2",82,"yuc_SAS_hyp_exp2_001.tif:4011-3786",2.473
"2","sun","A","yuc2",83,"yuc_SAS_hyp_exp2_001.tif:4027-3929",1.745
"2","sun","A","yuc2",84,"yuc_SAS_hyp_exp2_001.tif:4021-4254",3.329
"2","sun","A","Col",85,"yuc_SAS_hyp_exp2_001.tif:4621-2674",2.879
"2","sun","A","Col",86,"yuc_SAS_hyp_exp2_001.tif:4664-2861",2.729
"2","sun","A","Col",87,"yuc_SAS_hyp_exp2_001.tif:4646-3016",3.676
"2","sun","A","Col",88,"yuc_SAS_hyp_exp2_001.tif:4570-3212",7.3
"2","sun","A","Col",89,"yuc_SAS_hyp_exp2_001.tif:4609-3346",3.491
"2","sun","A","yuc8",90,"yuc_SAS_hyp_exp2_001.tif:4615-3609",2.49
"2","sun","A","yuc8",91,"yuc_SAS_hyp_exp2_001.tif:4638-3799",1.964
