"set","treatment","plant","rep","leaf","petioleLength","bladeLength","bladeWidth","bladeArea","bladePerimeter","bladeCircularity","who.dissected","genotype"
6,"shade","Col","4","4",9.097,12.592,9.734,96.265,47.498,0.536,"Kazu","Col"
6,"shade","Col","4","5",10.347,15.723,10.042,124.009,55.118,0.513,"Kazu","Col"
6,"shade","Col","4","6",9.912,15.844,9.414,117.141,55.795,0.473,"Kazu","Col"
6,"shade","Col","5","3",11.073,13.924,10.887,119.054,54.441,0.505,"Kazu","Col"
6,"shade","Col","5","4",12.203,15.527,11.254,137.24,57.743,0.517,"Kazu","Col"
6,"shade","Col","5","5",13.14,18.299,10.473,150.518,62.569,0.483,"Kazu","Col"
6,"shade","Col","5","6",11.764,17.758,11.244,156.812,67.564,0.432,"Kazu","Col"
6,"shade","Col","6","3",9.166,12.015,9.49,89.559,47.244,0.504,"Kazu","Col"
6,"shade","Col","6","4",10.287,14.236,11.2,125.235,57.15,0.482,"Kazu","Col"
6,"shade","Col","6","5",9.414,15.78,10.363,128.433,59.013,0.463,"Kazu","Col"
6,"shade","Col","6","6",9.873,16.673,9.824,128.64,59.436,0.458,"Kazu","Col"
6,"sun","Col","7","3",5.661,10.748,8.748,73.849,42.418,0.516,"Kazu","Col"
6,"sun","Col","7","4",4.493,13.17,8.432,87.218,47.329,0.489,"Kazu","Col"
6,"sun","Col","7","5",6.476,11.89,9.894,92.396,46.143,0.545,"Kazu","Col"
6,"sun","Col","7","6",6.38,16.194,8.82,112.179,53.171,0.499,"Kazu","Col"
6,"sun","Col","8","3",6.488,14.124,10,110.932,52.917,0.498,"Kazu","Col"
6,"sun","Col","8","4",7.068,14.908,11.318,132.516,57.15,0.51,"Kazu","Col"
6,"sun","Col","8","5",8.528,16.451,10.329,133.453,58.759,0.486,"Kazu","Col"
6,"sun","Col","8","6",7.234,16.327,10.39,133.235,58.505,0.489,"Kazu","Col"
6,"sun","Col","9","3",8.401,13.317,9.005,94.181,53.086,0.42,"Kazu","Col"
6,"sun","Col","9","4",8.043,15.112,9.048,107.387,51.901,0.501,"Kazu","Col"
6,"sun","Col","9","5",8.836,16.611,9.747,127.165,57.15,0.489,"Kazu","Col"
6,"sun","Col","9","6",4.953,15.772,9.869,122.245,58.251,0.453,"Kazu","Col"
6,"sun","Col","4","3",6.314,11.013,9.155,79.183,45.127,0.489,"Kazu","Col"
6,"sun","Col","4","4",8.019,11.726,10.632,97.917,49.191,0.509,"Kazu","Col"
6,"sun","Col","4","5",8.319,14.086,9.99,110.519,53.001,0.494,"Kazu","Col"
6,"sun","Col","4","6",7.258,14.398,8.02,90.699,48.345,0.488,"Kazu","Col"
6,"sun","Col","5","3",8.961,12.419,8.925,87.052,48.26,0.47,"Kazu","Col"
6,"sun","Col","5","4",10.387,15.291,10.613,127.453,55.203,0.526,"Kazu","Col"
6,"sun","Col","5","5",9.166,15.745,10.653,131.733,56.811,0.513,"Kazu","Col"
6,"sun","Col","5","6",10.278,17.026,8.469,113.251,55.88,0.456,"Kazu","Col"
6,"sun","Col","6","3",8.357,10.619,9.669,80.647,44.958,0.501,"Kazu","Col"
6,"sun","Col","6","4",9.688,14.631,10.585,121.629,54.187,0.521,"Kazu","Col"
6,"sun","Col","6","5",11.417,16.006,10.035,126.15,56.388,0.499,"Kazu","Col"
6,"sun","Col","6","6",9.977,16.351,8.509,109.27,54.271,0.466,"Kazu","Col"
6,"sun","Col","1","3",6.874,10.135,8.185,65.152,38.523,0.552,"Kazu","Col"
6,"sun","Col","1","4",7.402,10.087,6.5,51.498,36.83,0.477,"Kazu","Col"
6,"sun","Col","1","5",7.105,11.981,8.015,75.421,44.365,0.482,"Kazu","Col"
6,"sun","Col","1","6",5.733,11.18,7.653,67.197,41.656,0.487,"Kazu","Col"
6,"sun","Col","2","3",7.753,12.202,9.615,92.141,47.329,0.517,"Kazu","Col"
6,"sun","Col","2","4",6.715,13.425,10.398,109.638,52.239,0.505,"Kazu","Col"
6,"sun","Col","2","5",8.286,15.033,10.113,119.403,57.573,0.453,"Kazu","Col"
6,"sun","Col","2","6",6.287,14.561,8.164,93.364,50.461,0.461,"Kazu","Col"
6,"sun","Col","3","3",6.655,10.111,8.594,68.247,40.471,0.524,"Kazu","Col"
6,"sun","Col","3","4",7.223,12.235,9.629,92.53,46.99,0.527,"Kazu","Col"
6,"sun","Col","3","5",6.482,13.72,8.723,93.993,48.006,0.513,"Kazu","Col"
