Timepoint,Genotype,Treatment,Int
120,Col,FR,168752080
140,Col,FR,168793552
160,Col,FR,168813056
180,Col,FR,168814720
200,Col,FR,168799760
220,Col,FR,168789424
240,Col,FR,168788080
260,Col,FR,168781200
280,Col,FR,168766512
300,Col,FR,168743168
320,Col,FR,168716256
340,Col,FR,168688688
360,Col,FR,168659120
380,Col,FR,168624496
400,Col,FR,168589104
420,Col,FR,168559264
440,Col,FR,168529248
460,Col,FR,168499280
480,Col,FR,168473232
500,Col,FR,168449600
520,Col,FR,168427264
540,Col,FR,168399712
560,Col,FR,168378416
580,Col,FR,168354496
600,Col,FR,168341808
620,Col,FR,168334464
640,Col,FR,168323040
660,Col,FR,168313808
680,Col,FR,168309584
700,Col,FR,168302880
720,Col,FR,168297408
740,Col,FR,168292624
760,Col,FR,168287440
780,Col,FR,168276752
800,Col,FR,168278016
820,Col,FR,168271104
840,Col,FR,168265184
860,Col,FR,168251040
880,Col,FR,168237168
900,Col,FR,168226240
920,Col,FR,168209232
940,Col,FR,168195040
960,Col,FR,168180304
980,Col,FR,168167408
1000,Col,FR,168158544
1020,Col,FR,168145664
1040,Col,FR,168134864
1060,Col,FR,168130048
0,Col,FR,167908768
20,Col,FR,167966336
40,Col,FR,168038048
60,Col,FR,168106768
80,Col,FR,168159248
100,Col,FR,168192736
120,Col,FR,168217584
140,Col,FR,168236880
160,Col,FR,168251376
180,Col,FR,168259568
200,Col,FR,168266640
220,Col,FR,168271120
240,Col,FR,168274896
260,Col,FR,168275440
280,Col,FR,168270704
300,Col,FR,168257280
320,Col,FR,168237456
340,Col,FR,168216960
360,Col,FR,168204704
380,Col,FR,168196544
400,Col,FR,168184288
420,Col,FR,168166496
440,Col,FR,168154864
460,Col,FR,168142464
480,Col,FR,168131184
500,Col,FR,168119312
520,Col,FR,168111184
540,Col,FR,168105312
560,Col,FR,168098304
580,Col,FR,168091856
600,Col,FR,168087184
620,Col,FR,168083488
640,Col,FR,168079424
660,Col,FR,168080784
680,Col,FR,168083056
700,Col,FR,168084064
720,Col,FR,168082720
740,Col,FR,168080096
760,Col,FR,168077520
780,Col,FR,168072256
800,Col,FR,168074896
820,Col,FR,168070656
840,Col,FR,168065536
860,Col,FR,168056560
880,Col,FR,168045888
900,Col,FR,168036864
920,Col,FR,168027280
940,Col,FR,168021344
960,Col,FR,168016048
980,Col,FR,168009728
1000,Col,FR,168001136
1020,Col,FR,167989296
1040,Col,FR,167986384
1060,Col,FR,167981360
0,Col,FR,167916176
20,Col,FR,167964256
40,Col,FR,168028080
60,Col,FR,168099968
80,Col,FR,168166016
100,Col,FR,168218864
120,Col,FR,168252064
140,Col,FR,168272320
160,Col,FR,168283664
