Plant,time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
treat,,control,control,control,control,control,control,control,control,control,control,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR
gt,,Col,Col,Col,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,Col,Col,Col
treat_gt,,Col control,Col control,Col control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,Col EOD-FR,Col EOD-FR,Col EOD-FR
TL,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A


,456,22816232,19222666,21817180,15446144,4264736,9639371,14722046,12475541,11283563,4803937,13815793,18541384,18272536,18849920,12286936,10884500,33770632,29857904,41733296
,460,22341632,18954120,21877960,15095375,4201219,9921877,14507472,12076569,10917385,4818474,13392735,17822582,18129922,19434332,11982958,11730145,33621728,29081994,40639140
,464,22216310,18394024,21542752,15352818,4037335,9495528,14071784,11577112,11479328,5299243,13366794,17766608,17660918,18367796,11370879,11217371,32809672,28940448,39892400
,468,22688630,17979674,21797050,15575269,4119435,9444664,14364216,12164781,11390246,4735042,13946789,17987538,17546684,18570922,11378260,10852832,33796888,28827068,40236736
,472,21983180,18062892,21865912,15786882,3973824,9540828,14069479,11911841,11378109,5109302,13154249,17405100,17828226,18583540,12197423,10930957,33710940,29355984,40178712
,476,22529232,17537538,21889416,15525977,4454012,9372139,14230990,11945574,11611517,5228282,13204708,16994800,17828832,18801404,11922552,10927236,32126790,28905296,40093480
,480,22389852,17640692,22285400,15125646,3983149,9291113,14928643,11605297,10851813,5331688,12975746,17330800,17742604,18116344,11280574,10824851,31574696,27548704,40468280
,484,23481056,17359904,21446242,15842404,3830364,9252211,14548983,12356893,11301525,5124430,12983132,16577233,17817694,18492252,11313106,11046813,31003148,27605896,39181044
,488,23461760,17824146,21287392,15662156,4044317,9032252,15160545,12224308,11089087,5422486,13121807,17176072,17377652,17724012,11508783,10609975,30987732,26700146,39430832
,492,22836120,17477250,20994604,15713877,3970086,9133694,14847867,12223501,11485019,5401609,13302109,16255905,17596160,17567380,10815829,10484364,29926504,26870024,38669640
,496,23953652,16933604,21031252,15758067,3939540,9401137,14683406,11848453,11463505,4984775,13015214,16756913,16908856,18537498,11321132,10150377,29873376,26263100,39612264
,500,23204796,16508996,21948612,16015772,3715025,9261812,14815701,12343644,11381429,5472107,13207707,16394990,17084416,19120680,11150265,10757740,29687990,24265444,39108024
,504,24344678,16762102,21041244,15886649,4190125,9128453,15996038,12413011,11388288,5755288,12833239,16629120,17607764,18186916,11120027,10105058,29777770,23765672,37905136
,508,24106974,16921356,20637466,15934402,3982509,8897758,15072145,12321448,11890176,5213884,13081676,16491497,17856784,17383732,10723131,10226925,28871908,23777036,38965860
,512,23744912,16508765,20807060,16376764,4341089,9407694,15118921,12241779,11451475,5438173,12920664,16362701,17174258,18192790,10844051,10220211,28784632,24158680,38335652
,516,24336070,16254131,20353996,15762926,3890837,9179970,15333136,12570491,11549830,5930481,12751680,16726659,16505347,18122228,10949576,9368714,29496788,23585160,37802224
,520,23838514,16508335,20465160,16005804,4275093,9512284,15831165,12712584,11313181,5775865,12952794,15777426,15683787,18951630,10838061,9876065,28624108,22184760,37703504
,524,23406416,15677041,20712972,16761265,4057902,9499433,15921303,12112244,11207465,5877554,13336036,16279010,16960272,18143168,10629173,9171216,27190104,21799396,37398716
,528,23785490,15576393,20631788,16152769,4792741,9534091,16031117,12880850,11309890,5491341,13104172,15897305,16559144,17688524,10848127,9690541,27829740,21430510,37635712
,532,23702544,15481972,20422032,16660025,4328298,9682777,16770756,12605123,11577650,5568080,12667130,16100993,16907844,18198844,10603137,9380162,27044376,21898116,37286100
,536,24029696,15570138,20579902,16528565,4450028,9443303,16126986,12341035,12036059,5803485,12889971,16139761,17007204,18058912,10755288,9587913,27160658,21789070,36148880
,540,23262198,15653685,19712820,16441668,4062330,8940356,15747532,12230651,11875359,5982898,13237948,15863380,16702622,17615940,10630412,9545542,26465100,21906884,36733848
,544,23699212,15290044,20250412,16669515,4519315,9573541,16101999,12023459,11784625,5439808,12210171,15762456,15745305,17648916,10596994,10011422,26164376,20885422,35206368
,548,23819000,15442247,19365240,16945612,4495852,9231940,16106075,11930433,11500329,6614771,12240079,15771533,16405826,18126812,10540606,9768919,26351204,20801288,36190052
,552,23731360,15568235,19321368,16681456,4205631,9256341,17412652,12213328,11777029,6164278,13150228,16088804,16176583,18601232,10472118,9421390,25719558,19538468,35396972
,556,23823144,15129398,19193952,16652160,4411941,8966298,16992348,13173198,11621827,6426027,12759132,16089946,16026103,18196208,11066107,9462128,25713620,19387660,35078016
,560,23051706,15137097,19333688,17325544,4805133,9238391,17121156,12600880,11621770,6096227,12884430,16619309,15974572,17932966,10473632,9655406,24913308,21334670,35196536
,564,23316076,14839203,19457572,17660232,4682322,9529639,17004952,12423801,11938593,6106972,12633924,15589240,16343459,18165788,10577295,9352959,25217008,20253052,34567460
,568,23217600,15334680,19037548,17264062,5083686,9604796,16574921,12682901,11691594,6216238,12674356,15850859,16074270,17592466,9842522,8921758,24291802,19613000,34283112
,572,22670106,14757564,18278284,17357974,4106882,9338825,17606460,13069264,11455913,6236955,12424056,15976217,15932035,17951272,9991112,9566334,24700478,19413820,33970056
,576,22888964,14820379,18350300,17069394,4567112,8554120,17889220,12602960,11971784,6757725,12526853,15691378,15517999,18463326,10345464,8829593,24061676,19693732,34075020
,580,22908728,14266565,18311708,17471104,3864723,9587483,17051246,12822125,11704634,6423521,12252110,15419848,16042126,17371580,10455038,8720281,23193786,19070316,34525960
,584,22588436,14826028,18699604,17971836,3979262,9569403,16801642,12814215,11728764,6361180,12591237,15862012,15396388,18040388,10733928,9128041,23847458,18343096,34067048
,588,21870696,14695434,18613508,17443056,4226005,9911694,17891980,12879301,11649104,6093300,12890505,15739331,15995744,17690916,10597444,8559229,23670112,18150484,32846352
,592,22573454,14205722,18140152,17884332,3887361,9228377,17677266,12408537,11572649,5956950,12846958,15364512,15070243,17491348,10498610,8987206,23922310,18001626,32612406
,596,22071574,14474306,17851996,17980448,3901499,9650195,17587348,12770958,11858074,6491351,12870878,14673792,15791722,17539140,10341484,8394886,22655528,17104840,32859698
,600,21647892,14681004,18021612,17954208,4065435,9593908,18678972,12980909,11760036,6107232,13098360,15371260,15697688,18077002,10627090,8525554,22768288,18557940,32827170
,604,21541088,15015277,18017660,18272664,3737042,9163779,17097316,13070010,12122822,6163710,12378818,15110503,15053518,17169736,10345659,8800809,23460204,17275732,32382986
,608,21720264,14580323,18608058,17976170,3914933,9612571,17322182,13443826,11759668,6157047,12536857,14827860,15820007,17323602,10423354,8801952,23425286,17721304,32682912
,612,22153548,14767899,18288030,17705320,4167250,9362200,18048712,13095095,11804986,6449394,12301643,15170927,15036822,17351560,10565959,8489484,22311184,16706457,31495184
,616,21711976,14712875,18272580,18062376,4150957,9432776,17723082,12697173,12028612,6217990,12498054,14706392,15887093,18392424,10335741,8265504,22194292,17938356,31715656
